House_ID,Region,Region_Factor,Area,Frontage,Road_Width,dist-center,Floors,Bedrooms,Bathrooms,yr-built,Price
VN_0001,Big_Province,1.0,150.2,6.9,2.9,21.8,3,1,1,1981,2.19
VN_0002,Small_Province,0.25,120.4,6.1,3.7,8.6,2,3,3,1987,2.3
VN_0003,Small_Province,0.25,124.5,5.8,5.0,21.8,1,2,2,2001,1.34
VN_0004,Big_Province,1.0,44.7,6.6,6.1,22.4,2,1,1,1992,1.07
VN_0005,HCMC,8.5,162.1,4.9,7.0,26.0,5,3,2,2000,8.43
VN_0006,HCMC,8.5,100.8,6.8,6.5,22.1,3,3,1,2000,7.57
VN_0007,Hanoi,8.0,73.5,3.0,2.2,34.0,2,1,1,2007,2.22
VN_0008,Small_Province,0.25,95.0,3.5,2.0,7.7,2,2,1,2012,1.52
VN_0009,Big_Province,1.0,36.4,3.0,2.0,33.3,1,1,1,2008,0.53
VN_0010,Small_Province,0.25,108.5,4.8,2.7,19.3,3,4,3,2016,1.02
VN_0011,Hanoi,8.0,52.9,4.5,4.4,23.8,2,2,2,2001,3.26
VN_0012,Small_Province,0.25,45.0,4.7,3.9,4.4,1,1,1,2005,2.06
VN_0013,Small_Province,0.25,41.3,4.6,2.0,13.9,3,1,1,1990,0.51
VN_0014,HCMC,8.5,154.3,4.1,2.5,27.2,2,4,4,1990,4.42
VN_0015,HCMC,8.5,64.6,4.4,4.6,25.0,2,2,1,2024,3.31
VN_0016,HCMC,8.5,190.4,3.5,3.2,2.4,4,3,3,2013,29.21
VN_0017,Big_Province,1.0,67.7,7.2,6.3,19.6,3,3,2,1998,2.01
VN_0018,Big_Province,1.0,37.7,3.9,3.5,4.0,2,1,1,2016,3.14
VN_0019,Big_Province,1.0,50.6,3.7,5.2,34.9,1,2,1,1993,0.98
VN_0020,Big_Province,1.0,164.1,8.8,6.9,31.5,3,4,2,2008,3.75
VN_0021,Big_Province,1.0,81.8,3.0,2.0,1.7,2,1,1,1998,5.35
VN_0022,HCMC,8.5,67.2,3.0,2.0,30.2,1,1,1,2016,2.44
VN_0023,Big_Province,1.0,95.8,3.2,2.7,32.3,2,2,2,2000,1.32
VN_0024,Big_Province,1.0,113.7,5.2,2.0,13.0,1,1,1,2003,2.13
VN_0025,Big_Province,1.0,154.6,6.6,4.7,25.5,2,3,1,2005,2.39
VN_0026,Small_Province,0.25,182.5,7.5,5.3,16.0,4,2,2,2020,2.66
VN_0027,HCMC,8.5,73.9,9.5,5.1,23.3,2,6,2,1991,5.22
VN_0028,Big_Province,1.0,45.6,3.0,2.0,12.6,1,2,2,1998,1.09
VN_0029,Big_Province,1.0,71.9,5.9,5.7,12.0,2,2,1,2009,3.02
VN_0030,Hanoi,8.0,100.7,4.2,3.5,15.4,3,4,3,1994,6.01
VN_0031,Big_Province,1.0,54.6,3.6,2.8,5.9,2,2,2,1982,2.68
VN_0032,HCMC,8.5,54.8,3.5,3.1,29.3,1,1,1,1992,2.4
VN_0033,Hanoi,8.0,105.0,3.6,2.8,12.9,2,2,2,1988,6.37
VN_0034,Small_Province,0.25,86.3,8.0,7.9,14.6,2,3,2,1992,1.82
VN_0035,Small_Province,0.25,89.9,6.6,5.1,31.4,2,1,1,1995,0.89
VN_0036,Small_Province,0.25,60.5,4.8,2.0,17.9,2,2,1,1993,0.48
VN_0037,Big_Province,1.0,78.8,7.4,8.0,19.5,4,3,2,1987,2.74
VN_0038,Hanoi,8.0,55.7,3.0,2.8,33.5,1,1,1,1998,1.86
VN_0039,Big_Province,1.0,138.0,3.2,2.0,31.1,3,3,1,2011,1.34
VN_0040,Big_Province,1.0,148.4,3.0,2.0,6.8,3,4,3,2014,4.61
VN_0041,HCMC,8.5,35.1,3.2,3.0,17.1,1,2,1,2002,2.43
VN_0042,Big_Province,1.0,55.6,4.9,3.5,34.0,3,2,2,2000,0.93
VN_0043,Hanoi,8.0,41.8,4.7,5.9,13.7,1,1,1,1997,4.81
VN_0044,Small_Province,0.25,63.9,5.0,3.2,13.6,1,2,2,1993,0.82
VN_0045,HCMC,8.5,84.8,3.0,2.0,7.6,3,1,1,1995,7.83
VN_0046,Big_Province,1.0,42.8,5.9,5.8,4.9,1,3,2,2003,3.82
VN_0047,Big_Province,1.0,55.8,5.1,5.2,26.2,1,1,1,2011,1.39
VN_0048,Big_Province,1.0,53.5,5.9,4.7,27.2,2,1,1,1990,0.89
VN_0049,Big_Province,1.0,98.1,3.0,3.3,33.9,3,3,3,2024,1.26
VN_0050,HCMC,8.5,91.6,5.6,4.2,27.3,2,3,2,1990,3.54
VN_0051,Small_Province,0.25,61.6,3.0,2.6,9.3,1,1,1,1983,0.89
VN_0052,Small_Province,0.25,96.6,4.4,5.1,2.4,3,2,1,2005,4.16
VN_0053,Small_Province,0.25,67.3,5.8,5.3,34.5,2,2,1,2025,0.77
VN_0054,Small_Province,0.25,77.2,5.1,3.6,12.6,3,2,2,1984,1.26
VN_0055,Big_Province,1.0,204.2,4.9,5.7,11.6,5,7,5,2015,6.36
